Index,Title,Date,Content,Page,Username,Total reviews,Location,Rating
77,Super efficace,"December 20, 2023",Perte de ma 1ere commande lors de la livraison. Le service après vente ( qui répond dans l’heure qui suit 👌) a été à l’écoute et très réactif ! J’ai reçu la nouvelle commande en deux jours.,4,coy,1 review,FR,5
78,J’attends toujours ma commande…,"December 21, 2023",J’attends toujours ma commande 😡j’aurais du la recevoir le 29 décembre. Il mon dit qu’il me la renvoyer mais toujours rien…,4,angelina,1 review,FR,1
79,Merci pour ce retour rapide et la prise…,"December 20, 2023",Merci pour ce retour rapide et la prise en compte du défaut de l’album. Cordialement Sandrine,4,Sandrine,2 reviews,FR,5
80,2 photos mal cadré 1/2 tête 🥺,"December 30, 2023","J’ai reçu plusieurs lot de photo commander , ils sont tous comme je l’espérais , sauf le dernier , j’ai 2 photos mal cadré ( il manque la moitier du visage de bébé ) alors que je fait bien attention à cadré correctement les photos à chaque fois , donc un peu déçu d’avoir 2 photos que je n’accroche pas",5,Virginie,1 review,FR,3
81,Je recommande ++++,"December 19, 2023","Je recommande ++++,  hyper pratique, facile, et le sav est juste génial !!! Mille merci",5,Audrey Sitar,4 reviews,FR,5
82,Excellente expérience,"December 26, 2023","Excellente expérience, très belles photos, expédition rapide et peu coûteuses, très bien emballé, je recommande donc ce site pour tout son professionnalisme",5,CATHERINE,1 review,FR,5
83,Livraison très rapide,"December 27, 2023",Livraison très rapideQualité des photos impeccable Rien à dire,5,Mme CAROLE PORTHAULT,15 reviews,FR,5
84,Photo en très bonne qualité,"December 12, 2023",Photo en très bonne qualité. Livraison complète et soignée,5,Mailys,1 review,FR,5
85,Livraison rapide et produit conforme à…,"December 20, 2023",Livraison rapide et produit conforme à ce que j'avais commandé.,5,Chloe,1 review,BE,5
86,Très bien autant que pour la qualité…,"December 26, 2023",Très bien autant que pour la qualité que la rapidité d'envoi et le prix,5,cecilia,5 reviews,FR,5
87,Magnifique Cadre,"December 27, 2023",Reçu comme souhaiter. C’était un cadeau qui a été validé,5,Ruthii,1 review,CH,5
88,De super cadeaux personnalisés,"December 19, 2023","Une qualité de produits au top, service rapide et facile à prendre en main.",5,Globuline,3 reviews,FR,5
89,Photo de mariage,"December 27, 2023",Cadre magnifique photo de notre mariage nous sommes ravi de ce choix,5,Marie Noelle,1 review,FR,5
90,Rien à signaler,"January 02, 2024",Rien à signaler. Merci.,5,Laurie,3 reviews,FR,5
91,Rien à dire qualité au top,"December 21, 2023",Rien à dire qualité au top ! Et livraison rapide,5,Laetitia,2 reviews,FR,5
92,Rien à dire toujours satisfaite ☺️,"December 30, 2023",,5,Laura,3 reviews,FR,5
93,Parfait,"December 30, 2023",Parfait ! Un peu long pour la réception mais super,5,Petitplusetcompagnie,2 reviews,FR,5
94,Délai non respecté,"December 20, 2023",Rien à dire sur la qualité du produit par contre délai non respecté,5,Demarque,2 reviews,FR,2
95,Parfait,"December 20, 2023","Parfait ! Toujours une bonne qualité, rapides et beaux.",5,Elisabeth,1 review,FR,5
96,Suivi aléatoire,"December 19, 2023","Suivi aléatoire, commande reçu via un autre site. Qualité moyenne.",5,AD,3 reviews,FR,1
97,"TOP, JE RECOMMANDE !","December 21, 2023","Navigation simple et fluide, produits de qualité à prix intéressants et livraison rapide.",5,Boucyn ,5 reviews,FR,5
98,Bien,"December 20, 2023",Quelques Photos mal cadréesMais surprise pour la personne qui est ravie du cadeau,5,Océane CF,2 reviews,FR,4
