Index,Title,Date,Content,Page,Username,Total reviews,Location,Rating
296,Very good products,"December 15, 2020",I have purchased different products from their website/app. The quality is very good and the delivery is super fast. I would definitely use it again :),15,Martina Amadei,8 reviews,DK,5
297,Will order again,"December 08, 2020",Order some pics and a poster. The pics came really quickly despite COVID and it practically being Christmas. The poster took longer but they emailed me about it and even sent me a discount code. Everything was packaged securely and arrived as expected. They have  a great range and feel like its less tacky than most other online photo print options.,15,Emma Hastings,8 reviews,IE,5
298,Very bad service!,"December 08, 2020","I’m not satisfied at all with this company. First, it took 10 days for them to even prepare my order and then 3 days to ship it. I’m still waiting for my order and it has been one week since they ship it. Almost three weeks have passed and this was supposed to be a present for a birthday. Moreover, their communication through email is very poor, I ask them questions and they answer only “what they like” to answer. Sometimes they do not answer my email and when they do, they do not give me an information what I asked for.Very very bad! I’m not ordering from them anymore.",15,Sara Perković,5 reviews,ES,1
299,SMS newsletter,"December 08, 2020","Very good printings.I gave my phone number for delivery & tracking notifications, but they used it for their promotional SMS. Sending STOP to the phone number they give you doesn't seem to stop the promo SMS. Hopefully they don't sell customers' phone numbers.",15,Septo,3 reviews,IT,1
300,efficient service throw the app and the…,"December 07, 2020","efficient service throw the app and the assistancevery high-quality productsfast deliverythough the not so small costs, you can use my code NIVFEQ and you'll save 5 euros on your first purchase of minimum 10 euros",16,Sergio,5 reviews,IT,4
301,Fast to USA & Slovakia !,"December 06, 2020","Ordered two magnetic photo packs - one to USA and one to Slovakia - both arrived within 10 days ! Excellent quality, nice gift style packaging. Highly recommended.",16,Mr Evans,12 reviews,GB,5
302,Application hyper facile pour simple…,"October 31, 2020","Application hyper facile pour simple tirage  , délais rapide , merci",16,Audrey Bahim,2 reviews,BE,5
303,Love using Cheerz as they have an…,"September 22, 2020",Love using Cheerz as they have an excellent website and the quality of the product when received is first class.  Highly recommend to all.,16,Annette Horne,26 reviews,GB,5
304,Very quick service,"September 15, 2020",Very quick service. items delivered in 5 days. No issues. Very nice pic. love it!,16,Ilaria Quacquarelli,1 review,PT,5
305,"Everything all right, thank you","August 24, 2020",Super service! Continuate cosí :-),16,Nadia Italy,3 reviews,IT,5
306,Super Application,"July 30, 2020",Super Application! je recommande !,16,Léa Marie-Sainte,1 review,MQ,5
307,Great Photos and Service,"July 21, 2020",Just starting using Cheerz App recently.  Really easy to use app. Absolutely love my retro prints. Amazing quality photos and fast delivery. Looking forward to order from Cheerz again.,16,Christelle,8 reviews,GB,5
